Item,Ingredients,Diet,Protein,Carbs,Fats,Sweet,Bitter,Spicy,Sour,Dessert,Main-course,Starter,North-indian,South-indian
Kofta,potatoes paneer onions ginger garlic green chilies cashews cream garam masala coriander powder turmeric powder chili powder salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Lauki ke kofte,bottle gourd potatoes onions ginger garlic green chilies gram flour oil cumin seeds asafoetida turmeric powder salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Lauki ki subji,bottle gourd tomatoes onions ginger garlic green chilies cumin seeds turmeric powder chili powder garam masala salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Litti chokha,wheat flour husked green gram flour oil ghee baking soda salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Makki di roti sarson da saag,corn flour mustard greens ginger green chilies oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Misi roti,whole wheat flour lentils mushrooms onions tomatoes ginger garlic green chilies chili powder turmeric powder garam masala salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Mushroom do pyaza,mushrooms peas onions tomatoes ginger garlic green chilies chili powder turmeric powder garam masala coriander powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Mushroom matar,mushrooms peas onions tomatoes ginger garlic green chilies chili powder turmeric powder garam masala coriander powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Naan,all-purpose flour yeast sugar oil salt water,0,1,1,1,0,0,0,0,0,1,0,1,0
Navrattan korma,mixed vegetables cashews cream tomatoes onions ginger garlic green chilies chili powder turmeric powder garam masala coriander powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Palak paneer,spinach paneer onions tomatoes ginger garlic green chilies chili powder turmeric powder garam masala salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Paneer butter masala,paneer tomatoes onions cashews cream ginger garlic green chilies chili powder turmeric powder garam masala salt butter,0,1,1,1,0,0,1,0,0,1,0,1,0
Paneer tikka masala,paneer yogurt tomatoes onions ginger garlic green chilies cashews cream garam masala coriander powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Pani puri,semolina flour chickpeas potatoes onions tomatoes tamarind chutney mint chutney sev,0,1,1,1,1,0,1,0,0,1,1,1,0
Papad,urad dal black pepper cumin seeds asafoetida salt oil,0,1,1,1,0,0,0,0,0,1,0,1,0
Paratha,whole wheat flour water salt ghee,0,1,1,1,0,0,0,0,0,1,0,1,0
Pattor,whole wheat flour water salt oil,0,1,1,1,0,0,0,0,0,1,0,1,0
Pindi chana,chickpeas tomatoes onions ginger garlic green chilies chili powder turmeric powder garam masala coriander powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Rajma chaval,kidney beans tomatoes onions ginger garlic green chilies chili powder turmeric powder garam masala coriander powder salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Rongi,black-eyed peas tomatoes onions ginger garlic green chilies chili powder turmeric powder garam masala coriander powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Samosa,potatoes peas onions ginger garlic green chilies chili powder turmeric powder garam masala coriander powder salt oil,0,1,1,1,0,0,1,0,0,1,1,1,0
Sattu ki roti,sattu flour water salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Shahi paneer,paneer tomatoes onions cashews cream ginger garlic green chilies chili powder turmeric powder garam masala salt butter,0,1,1,1,0,0,1,0,0,1,0,1,0
Vegetable jalfrezi,mixed vegetables tomatoes onions ginger garlic green chilies chili powder turmeric powder garam masala salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Tandoori Chicken,chicken yogurt lemon juice ginger garlic garam masala chili powder turmeric powder salt oil,1,1,1,1,0,0,1,0,0,1,1,1,0
Tandoori Fish Tikka,fish yogurt lemon juice ginger garlic garam masala chili powder turmeric powder salt oil,1,1,1,1,0,0,1,0,0,1,1,1,0
Attu,rice urad dal fenugreek seeds salt water,0,1,1,1,0,0,1,0,0,1,0,1,0
Avial,mixed vegetables coconut green chilies cumin seeds yogurt curry leaves turmeric powder coconut oil salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Bisi bele bath,rice lentils mixed vegetables tamarind curry leaves mustard seeds asafoetida turmeric powder oil salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Currivepillai sadam,rice lentils curry leaves mustard seeds asafoetida fenugreek seeds cumin seeds urad dal chana dal salt oil,0,1,1,1,0,1,1,0,0,1,0,0,1
Dosa,rice urad dal fenugreek seeds salt water,0,1,1,1,0,0,1,0,0,1,0,0,1
Idiappam,rice flour water salt,0,1,1,1,0,0,0,0,0,1,0,0,1
Idli,rice urad dal fenugreek seeds salt water,0,1,1,1,0,0,0,0,0,1,0,0,1
Kanji,rice water salt,0,1,1,1,0,0,1,1,0,1,0,0,1
Kaara kozhambu,tamarind curry leaves mustard seeds fenugreek seeds turmeric powder salt oil,0,1,1,1,0,0,1,1,0,1,0,0,1
Keerai kootu,spinach lentils coconut green chilies cumin seeds turmeric powder salt,0,1,1,1,0,1,1,0,0,1,0,0,1
Keerai masiyal,spinach lentils coconut green chilies cumin seeds turmeric powder salt,0,1,1,1,0,1,1,0,0,1,0,0,1
Keerai sadam,spinach rice mustard seeds urad dal cumin seeds red chilies curry leaves turmeric powder salt oil,0,1,1,1,0,1,1,0,0,1,0,0,1
Keerai poriyal,spinach mustard seeds urad dal green chilies curry leaves turmeric powder oil salt,0,1,1,1,0,1,1,0,0,1,0,0,1
Beef Fry,beef onions tomatoes ginger garlic green chilies chili powder turmeric powder garam masala coriander powder salt oil,1,1,1,1,0,0,1,0,0,1,0,0,1
Kootu,mixed vegetables lentils coconut green chilies cumin seeds turmeric powder salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Kos kootu,mixed vegetables lentils coconut green chilies cumin seeds turmeric powder salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Koshambri,cucumber coconut green chilies lemon juice salt,0,1,1,1,0,0,0,1,0,1,0,0,1
Kothamali sadam,coriander leaves rice coconut green chilies tamarind lemon juice salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Kuzhambu,tamarind curry leaves mustard seeds fenugreek seeds turmeric powder salt oil,0,1,1,1,0,0,1,0,0,1,0,0,1
Masala Dosa,rice urad dal fenugreek seeds salt water,0,1,1,1,0,0,1,0,0,1,0,0,1
Paniyaram,lentils rice green chilies cumin seeds ginger asafoetida salt oil,0,1,1,1,0,0,1,0,0,1,1,0,1
Papadum,black gram lentils rice water salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Paruppu sadam,rice lentils mustard seeds asafoetida salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Pesarattu,green gram lentils rice green chilies cumin seeds ginger asafoetida salt oil,0,1,1,1,0,0,1,0,0,1,0,0,1
Poriyal,mixed vegetables coconut green chilies cumin seeds turmeric powder salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Puli sadam,tamarind curry leaves mustard seeds fenugreek seeds asafoetida turmeric powder salt oil,0,1,1,1,0,0,1,1,0,1,0,0,1
Rasam,tamarind curry leaves mustard seeds fenugreek seeds asafoetida turmeric powder salt oil,0,1,1,1,0,0,1,1,0,1,0,0,1
Puttu,rice flour grated coconut salt water,0,1,1,1,0,0,0,0,0,1,0,0,1
Sambar,lentils mixed vegetables tamarind curry leaves mustard seeds asafoetida turmeric powder salt oil,0,1,1,1,0,0,1,1,0,1,0,0,1
Sandige,rice flour water salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Sevai,rice vermicelli mustard seeds urad dal chana dal asafoetida curry leaves green chilies salt oil,0,1,1,1,0,0,1,0,0,1,0,0,1
Thayir sadam,rice yogurt curry leaves mustard seeds asafoetida green chilies ginger salt oil,0,1,1,1,0,0,0,1,0,1,0,0,1
Theeyal,shallots coconut tamarind curry leaves fenugreek seeds mustard seeds dried red chilies turmeric powder oil,0,1,1,1,0,0,1,1,0,1,0,0,1
Uttapam,rice lentils salt,0,1,1,1,0,0,1,0,0,1,0,0,1
Vada,urad dal green chilies ginger curry leaves asafoetida salt oil,0,1,1,1,0,0,1,0,0,1,1,0,1
Chicken Varuval,chicken onions tomatoes ginger garlic green chilies chili powder turmeric powder garam masala coriander powder salt oil,1,1,1,1,0,0,1,0,0,1,0,1,0
Upma,semolina mustard seeds urad dal green chilies curry leaves ginger onions salt oil,0,1,1,1,0,0,1,0,0,1,0,0,1
Amti,lentils mixed vegetables coconut green chilies tamarind turmeric powder salt oil,0,1,1,1,0,0,1,1,0,1,0,0,1
Zunka,chickpea flour onions green chilies ginger mustard seeds asafoetida curry leaves turmeric powder oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Kolim Jawla,banana flower grated coconut mustard seeds curry leaves dried red chilies tamarind jaggery salt oil,0,1,1,1,0,0,1,1,0,1,0,1,0
Saath,mixed vegetables lentils curry leaves tamarind mustard seeds turmeric powder jaggery salt oil,0,1,1,1,0,0,1,1,0,1,0,1,0
Bajri no rotlo,pearl millet flour water salt,0,1,1,1,0,0,0,1,0,1,0,1,0
Bhakri,millet flour water salt,0,1,1,1,0,0,0,1,0,1,0,1,0
Bombil fry,Bombay duck flour semolina ginger garlic turmeric powder chili powder salt oil,1,1,1,1,0,0,1,0,0,1,1,1,0
Daal Dhokli,lentils wheat flour yogurt ginger garlic chili powder turmeric powder asafoetida jaggery salt oil,0,1,1,1,0,0,1,0,0,1,0,0,1
Dalithoy,lentils turmeric powder chili powder asafoetida curry leaves mustard seeds cumin seeds salt oil,0,1,1,1,0,0,1,0,0,1,0,0,1
Gatta curry,chickpea flour yogurt ginger garlic green chilies tomatoes turmeric powder chili powder asafoetida mustard seeds salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Handwo,rice lentils bottle gourd yogurt ginger green chilies asafoetida turmeric powder salt oil,0,1,1,1,0,0,1,0,0,1,0,0,1
Jeera Aloo,potatoes cumin seeds turmeric powder chili powder asafoetida salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Khakhra,whole wheat flour salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Kombdi vade,rice flour grated coconut coriander seeds cumin seeds green chilies ginger garlic turmeric powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Methi na Gota,fenugreek leaves chickpea flour turmeric powder chili powder asafoetida salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Muthiya,chickpea flour wheat flour fenugreek leaves cilantro green chilies ginger garlic turmeric powder chili powder oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Patra,colocasia leaves chickpea flour tamarind jaggery ginger garlic green chilies sesame seeds mustard seeds oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Pav Bhaji,mixed vegetables tomatoes onion garlic ginger green chilies chili powder turmeric powder pav bhaji masala butter salt,0,1,1,1,0,0,1,0,0,1,1,1,0
Puri Bhaji,potatoes onions tomatoes ginger garlic green chilies turmeric powder chili powder cumin seeds oil salt,0,1,1,1,0,0,1,0,0,1,1,1,0
Sabudana Khichadi,tapioca pearls peanuts potato cumin seeds green chilies ginger curry leaves lemon juice sugar salt ghee,0,1,1,1,0,0,1,0,0,1,0,1,0
Sev khamani,chickpeas sev pomegranate green chilies ginger lemon juice cilantro coconut oil salt,0,1,1,1,0,0,1,0,0,1,1,1,0
Thalipeeth,mixed flours onions cilantro green chilies sesame seeds cumin seeds coriander seeds turmeric powder oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Undhiyu,mixed vegetables beans eggplant potatoes muthia ginger garlic green chilies turmeric powder chili powder coriander powder garam masala oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Veg Kolhapuri,mixed vegetables onions tomatoes ginger garlic green chilies cashews coconut poppy seeds sesame seeds oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Vindaloo,meat (optional) potatoes onions tomatoes ginger garlic vinegar chili powder turmeric powder garam masala oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Lilva Kachori,pigeon peas wheat flour ginger garlic green chilies turmeric powder chili powder asafoetida oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Mag Dhokli,moong dal wheat flour sesame seeds cumin seeds ginger garlic green chilies turmeric powder oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Khichu,rice flour cumin seeds oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Thepla,wheat flour fenugreek leaves cilantro green chilies ginger garlic turmeric powder chili powder oil salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Turiya Patra Vatana sabji,ridge gourd colocasia leaves peas tomatoes ginger garlic green chilies mustard seeds turmeric powder chili powder oil salt,0,1,1,1,0,0,1,1,0,1,0,1,0
Khar,banana peel water,0,1,1,1,0,1,1,1,0,1,0,1,0
Kumol Sawul,ash gourd milk sugar,0,1,1,1,0,0,1,0,0,1,0,1,0
Luchi,all-purpose flour oil salt,0,1,1,1,0,0,0,0,0,1,0,1,0
Alu Pitika,potatoes mustard oil onions green chilies salt coriander leaves,0,1,1,1,0,0,1,0,0,1,0,1,0
Masor tenga,fish tomatoes mustard oil fenugreek seeds coriander leaves green chilies salt,1,1,1,1,0,0,1,1,0,1,0,1,0
Bengena Pitika,eggplant mustard oil onions green chilies salt coriander leaves,0,1,1,1,0,0,1,0,0,1,0,1,0
Bilahi Maas,catfish tomatoes mustard oil ginger garlic turmeric powder green chilies salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Black rice,black rice water,0,1,1,1,0,0,1,0,0,1,0,1,0
Bora Sawul,sticky rice black lentils,0,1,1,1,0,0,1,0,0,1,0,1,0
Brown Rice,brown rice water,0,1,1,1,0,0,0,0,0,1,0,1,0
Chingri malai curry,prawns coconut milk tomatoes ginger garlic green chilies turmeric powder sugar salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Haq Maas,mutton asafoetida bay leaves fennel seeds ginger cumin seeds cinnamon cloves black cardamom salt turmeric,1,1,1,1,0,0,1,0,0,1,0,1,0
Chingri Bhape,prawns mustard oil onions ginger garlic tomatoes green chilies turmeric powder salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Kabiraji,fish fillets turmeric powder red chili powder ginger garlic lemon juice salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Khorisa,bamboo shoots mustard oil garlic ginger green chilies salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Koldil Chicken,banana flower chicken turmeric powder salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Konir Dom,pig's intestine onion ginger garlic bay leaves cardamom cinnamon cloves pepper turmeric powder salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Koldil Duck,banana flower duck turmeric powder salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Masor Koni,fish tomato green chilies ginger garlic turmeric powder oil salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Pakhala,cooked rice water,0,1,1,1,0,0,1,0,0,1,0,1,0
Prawn malai curry,prawns coconut milk tomatoes ginger garlic green chilies turmeric powder sugar salt,1,1,1,1,0,0,1,0,0,1,0,1,0
Red Rice,red rice water,0,1,1,1,0,0,0,0,0,1,0,1,0
Shukto,Bitter gourd vegetables potato drumstick pumpkin etc. mustard paste milk spices,0,1,1,1,0,1,0,1,0,1,0,1,0
Hot Dogs,Hot dog sausages hot dog buns condiments ketchup mustard relish onions etc.,1,1,1,1,0,0,1,0,0,1,0,0,0
French Fries,Potatoes oil salt,0,1,1,1,0,0,0,0,0,1,0,0,0
Chicken Tenders,Chicken breast strips flour eggs breadcrumbs seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Pizza,Pizza dough tomato sauce cheese toppings pepperoni vegetables etc.,1,1,1,1,0,0,1,0,0,1,0,0,0
Burgers,Ground beef patties burger buns lettuce tomato onion cheese condiments,1,1,1,1,0,0,1,0,0,1,0,0,0
Meatloaf,Ground beef breadcrumbs eggs onions ketchup seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Macaroni and Cheese,Macaroni pasta cheese cheddar mozzarella etc. milk butter flour seasoning,0,1,1,1,0,0,0,0,0,1,0,0,0
Grilled Cheese Sandwiches,Bread cheese cheddar American etc. butter,0,1,1,1,0,0,0,0,0,1,0,0,0
Pot Roast,Beef roast potatoes carrots onions beef broth seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Tater Tots,Potatoes flour seasoning oil,0,1,1,1,0,0,0,0,0,1,0,0,0
Fried Chicken,Chicken pieces flour eggs buttermilk seasoning oil,1,1,1,1,0,0,1,0,0,1,0,0,0
Potato Chips,Potatoes oil salt,0,1,1,1,0,0,0,0,0,1,0,0,0
Barbecue Ribs,Pork ribs barbecue sauce seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Pulled Pork,Pork shoulder barbecue sauce seasoning buns,1,1,0,1,0,0,1,0,0,1,0,0,0
Chili,Ground beef onions bell peppers kidney beans tomatoes tomato paste chili powder cumin garlic salt,1,1,1,1,0,0,1,0,0,1,0,0,0
Buffalo Wings,Chicken wings hot sauce butter vinegar Worcestershire sauce garlic powder salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Eggs Benedict,English muffins Canadian bacon poached eggs hollandaise sauce salt pepper,1,1,1,1,0,0,0,0,0,1,0,0,0
Reuben,Rye bread corned beef Swiss cheese sauerkraut Russian dressing,1,1,1,1,0,0,0,0,0,1,0,0,0
Gumbo,Andouille sausage chicken shrimp onion bell pepper celery okra tomatoes broth seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Charleston Red Rice,Rice bacon sausage bell pepper onion garlic tomatoes broth salt pepper,0,1,1,1,0,0,1,0,0,1,0,0,0
Chicken Bog,Chicken rice smoked sausage onion celery garlic salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Dirty Rice,Chicken livers gizzards ground pork onion bell pepper celery garlic rice broth seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Hawaiian Haystack,Cooked rice chicken gravy chow mein noodles pineapple coconut cheese almonds,1,1,1,1,0,0,1,0,0,1,0,0,0
Hoppin' John,Black-eyed peas rice bacon onion garlic broth seasoning,0,1,1,1,0,0,1,0,0,1,0,0,0
Jambalaya,Andouille sausage chicken shrimp onion bell pepper celery garlic tomatoes rice broth seasoning,1,1,1,1,0,0,1,0,0,1,0,0,0
Rice and Gravy,Rice meat drippings flour broth seasoning salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Red Beans and Rice,Red beans rice smoked sausage onion bell pepper celery garlic broth seasoning,0,1,1,1,0,0,1,0,0,1,0,0,0
Shrimp Creole,Shrimp onion bell pepper celery garlic tomatoes broth seasoning salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Shrimp Creole,Shrimp onion bell pepper celery garlic tomatoes broth seasoning salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
Spanish Rice,Rice onion bell pepper tomatoes garlic broth seasoning salt pepper,0,1,1,1,0,0,1,0,0,1,0,0,0
Bologna Sausage,Pork beef water salt sugar dextrose sodium nitrate flavorings,1,1,1,1,0,0,1,0,0,1,0,0,0
Breakfast Sausage,Ground pork salt pepper sage thyme rosemary nutmeg ginger,1,1,1,1,0,0,1,0,0,1,0,0,0
Chaudin,Pork intestines liver onions bell pepper celery garlic parsley breadcrumbs seasoning,1,1,0,1,0,0,1,0,0,1,0,0,0
Goetta,Pork shoulder beef chuck oats onion salt pepper thyme bay leaves,1,1,1,1,0,0,1,0,0,1,0,0,0
Half-smoke,Beef pork spices,1,1,0,1,0,0,1,0,0,1,0,0,0
Hot link (sausage),Pork beef spices,1,1,0,1,0,0,1,0,0,1,0,0,0
Lebanon bologna,Beef beef hearts beef tongue beef tripe pork chicken sugar salt vinegar lactic acid,1,1,0,1,0,0,1,0,0,1,0,0,0
